<'body system', 'issue in', 'biomedical occupation or discipline'>
<'animal', 'interacts with', 'bird'>
<'immunologic factor', 'affects', 'organism function'>
<'laboratory or test result', 'measurement of', 'biomedical or dental material'>
<'immunologic factor', 'complicates', 'biologic function'>
<'neuroreactive substance or biogenic amine', 'complicates', 'molecular function'>
<'diagnostic procedure', 'analyzes', 'chemical viewed functionally'>
<'hormone', 'complicates', 'cell function'>
<'organic chemical', 'interacts with', 'hazardous or poisonous substance'>
<'disease or syndrome', 'complicates', 'acquired abnormality'>
<'disease or syndrome', 'manifestation of', 'organ or tissue function'>
<'diagnostic procedure', 'measures', 'biomedical or dental material'>
<'inorganic chemical', 'causes', 'anatomical abnormality'>
<'receptor', 'isa', 'chemical'>
<'tissue', 'part of', 'human'>
<'classification', 'issue in', 'occupation or discipline'>
<'diagnostic procedure', 'affects', 'organism function'>
<'neoplastic process', 'affects', 'archaeon'>
<'neoplastic process', 'process of', 'mental process'>
<'acquired abnormality', 'affects', 'mammal'>
<'neoplastic process', 'produces', 'tissue'>
<'organ or tissue function', 'result of', 'cell or molecular dysfunction'>
<'cell component', 'affects', 'molecular function'>
<'environmental effect of humans', 'result of', 'cell function'>
<'steroid', 'affects', 'neoplastic process'>
<'lipid', 'interacts with', 'biologically active substance'>
<'organ or tissue function', 'result of', 'natural phenomenon or process'>
<'age group', 'uses', 'research device'>
<'plant', 'interacts with', 'organism'>
<'immunologic factor', 'disrupts', 'genetic function'>
<'therapeutic or preventive procedure', 'associated with', 'congenital abnormality'>
<'organization', 'carries out', 'diagnostic procedure'>
<'tissue', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'carbohydrate', 'interacts with', 'antibiotic'>
<'research activity', 'measures', 'natural phenomenon or process'>
<'fish', 'isa', 'organism'>
<'antibiotic', 'affects', 'cell or molecular dysfunction'>
<'hazardous or poisonous substance', 'disrupts', 'mental process'>
<'amino acid peptide or protein', 'interacts with', 'enzyme'>
<'genetic function', 'result of', 'cell or molecular dysfunction'>
<'organ or tissue function', 'process of', 'physiologic function'>
<'body part organ or organ component', 'contains', 'body substance'>
<'population group', 'uses', 'intellectual product'>
<'rickettsia or chlamydia', 'interacts with', 'fish'>
<'carbohydrate', 'causes', 'experimental model of disease'>
<'plant', 'interacts with', 'fungus'>
<'antibiotic', 'affects', 'natural phenomenon or process'>
<'pathologic function', 'occurs in', 'mental or behavioral dysfunction'>
<'functional concept', 'issue in', 'biomedical occupation or discipline'>
<'genetic function', 'result of', 'natural phenomenon or process'>
<'experimental model of disease', 'complicates', 'congenital abnormality'>
<'plant', 'location of', 'biologically active substance'>
<'organism function', 'process of', 'mental or behavioral dysfunction'>
<'cell function', 'affects', 'genetic function'>
<'element ion or isotope', 'affects', 'mental process'>
<'molecular biology research technique', 'uses', 'research device'>
<'physiologic function', 'result of', 'acquired abnormality'>
<'pathologic function', 'process of', 'archaeon'>
<'anatomical abnormality', 'manifestation of', 'organism function'>
<'injury or poisoning', 'disrupts', 'body part organ or organ component'>
<'cell function', 'isa', 'event'>
<'laboratory procedure', 'measures', 'genetic function'>
<'natural phenomenon or process', 'isa', 'phenomenon or process'>
<'lipid', 'isa', 'chemical'>
<'diagnostic procedure', 'assesses effect of', 'receptor'>
<'group', 'uses', 'regulation or law'>
<'pharmacologic substance', 'interacts with', 'enzyme'>
<'disease or syndrome', 'process of', 'physiologic function'>
<'organization', 'location of', 'therapeutic or preventive procedure'>
<'organic chemical', 'interacts with', 'nucleic acid nucleoside or nucleotide'>
<'finding', 'evaluation of', 'organism function'>
<'immunologic factor', 'issue in', 'biomedical occupation or discipline'>
<'neoplastic process', 'produces', 'receptor'>
<'injury or poisoning', 'result of', 'organ or tissue function'>
<'cell', 'part of', 'fish'>
<'mental process', 'isa', 'organism function'>
<'regulation or law', 'isa', 'entity'>
<'biologic function', 'affects', 'mental process'>
<'cell or molecular dysfunction', 'process of', 'cell function'>
<'natural phenomenon or process', 'result of', 'anatomical abnormality'>
<'pharmacologic substance', 'disrupts', 'body part organ or organ component'>
<'genetic function', 'process of', 'biologic function'>
<'pathologic function', 'occurs in', 'age group'>
<'immunologic factor', 'interacts with', 'receptor'>
<'nucleic acid nucleoside or nucleotide', 'causes', 'mental or behavioral dysfunction'>
<'organism attribute', 'result of', 'mental or behavioral dysfunction'>
<'age group', 'uses', 'classification'>
<'food', 'affects', 'organism function'>
<'anatomical abnormality', 'part of', 'virus'>
<'invertebrate', 'interacts with', 'mammal'>
<'group', 'performs', 'diagnostic procedure'>
<'chemical', 'affects', 'physiologic function'>
<'lipid', 'interacts with', 'hormone'>
<'therapeutic or preventive procedure', 'method of', 'occupation or discipline'>
<'experimental model of disease', 'affects', 'disease or syndrome'>
<'natural phenomenon or process', 'issue in', 'occupation or discipline'>
<'qualitative concept', 'isa', 'entity'>
<'laboratory or test result', 'manifestation of', 'genetic function'>
<'finding', 'manifestation of', 'biologic function'>
<'neoplastic process', 'process of', 'disease or syndrome'>
<'cell component', 'part of', 'fish'>
<'neuroreactive substance or biogenic amine', 'affects', 'cell or molecular dysfunction'>
<'population group', 'performs', 'occupational activity'>
<'fully formed anatomical structure', 'location of', 'experimental model of disease'>
<'injury or poisoning', 'result of', 'individual behavior'>
<'mental or behavioral dysfunction', 'affects', 'virus'>
<'hormone', 'affects', 'mental or behavioral dysfunction'>
<'organism attribute', 'measurement of', 'organ or tissue function'>
<'health care activity', 'affects', 'pathologic function'>
<'eicosanoid', 'causes', 'cell or molecular dysfunction'>
<'medical device', 'prevents', 'experimental model of disease'>
<'neuroreactive substance or biogenic amine', 'affects', 'natural phenomenon or process'>
<'body substance', 'derivative of', 'tissue'>
<'molecular biology research technique', 'measures', 'amino acid peptide or protein'>
<'steroid', 'affects', 'mental process'>
<'tissue', 'part of', 'organism'>
<'plant', 'location of', 'hormone'>
<'physiologic function', 'process of', 'reptile'>
<'family group', 'interacts with', 'patient or disabled group'>
<'tissue', 'location of', 'organ or tissue function'>
<'chemical viewed functionally', 'affects', 'organism function'>
<'element ion or isotope', 'causes', 'pathologic function'>
<'antibiotic', 'complicates', 'mental or behavioral dysfunction'>
<'pharmacologic substance', 'treats', 'mental or behavioral dysfunction'>
<'disease or syndrome', 'occurs in', 'population group'>
<'biologically active substance', 'affects', 'neoplastic process'>
<'pharmacologic substance', 'issue in', 'biomedical occupation or discipline'>
<'cell component', 'location of', 'cell function'>
<'nucleic acid nucleoside or nucleotide', 'affects', 'experimental model of disease'>
<'neoplastic process', 'degree of', 'mental or behavioral dysfunction'>
<'health care related organization', 'location of', 'laboratory procedure'>
<'geographic area', 'issue in', 'biomedical occupation or discipline'>
<'laboratory procedure', 'assesses effect of', 'chemical viewed functionally'>
<'fully formed anatomical structure', 'part of', 'human'>
<'hazardous or poisonous substance', 'affects', 'molecular function'>
<'phenomenon or process', 'result of', 'congenital abnormality'>
<'indicator reagent or diagnostic aid', 'affects', 'pathologic function'>
<'anatomical abnormality', 'occurs in', 'age group'>
<'regulation or law', 'affects', 'professional or occupational group'>
<'laboratory procedure', 'issue in', 'occupation or discipline'>
<'experimental model of disease', 'manifestation of', 'pathologic function'>
<'health care related organization', 'carries out', 'occupational activity'>
<'molecular biology research technique', 'measures', 'organic chemical'>
<'antibiotic', 'disrupts', 'organ or tissue function'>
<'machine activity', 'isa', 'event'>
<'professional or occupational group', 'performs', 'molecular biology research technique'>
<'steroid', 'interacts with', 'vitamin'>
<'enzyme', 'disrupts', 'gene or genome'>
<'health care activity', 'associated with', 'acquired abnormality'>
<'element ion or isotope', 'affects', 'disease or syndrome'>
<'hormone', 'causes', 'neoplastic process'>
<'substance', 'causes', 'pathologic function'>
<'lipid', 'interacts with', 'steroid'>
<'manufactured object', 'causes', 'neoplastic process'>
<'organ or tissue function', 'affects', 'organism'>
<'disease or syndrome', 'process of', 'organ or tissue function'>
<'chemical viewed structurally', 'interacts with', 'amino acid peptide or protein'>
<'pathologic function', 'degree of', 'disease or syndrome'>
<'laboratory procedure', 'measures', 'eicosanoid'>
<'family group', 'isa', 'conceptual entity'>
<'enzyme', 'complicates', 'physiologic function'>
<'anatomical abnormality', 'affects', 'mammal'>
<'individual behavior', 'associated with', 'organism attribute'>
<'organ or tissue function', 'affects', 'fungus'>
<'body part organ or organ component', 'produces', 'organic chemical'>
<'nucleotide sequence', 'isa', 'spatial concept'>
<'biologic function', 'affects', 'disease or syndrome'>
<'fungus', 'interacts with', 'virus'>
<'biologic function', 'result of', 'physiologic function'>
<'experimental model of disease', 'precedes', 'cell or molecular dysfunction'>
<'molecular function', 'produces', 'immunologic factor'>
<'clinical drug', 'isa', 'entity'>
<'cell or molecular dysfunction', 'result of', 'pathologic function'>
<'diagnostic procedure', 'isa', 'occupational activity'>
<'organophosphorus compound', 'interacts with', 'inorganic chemical'>
<'chemical viewed structurally', 'interacts with', 'organic chemical'>
<'mental or behavioral dysfunction', 'isa', 'biologic function'>
<'hazardous or poisonous substance', 'causes', 'neoplastic process'>
<'experimental model of disease', 'result of', 'organ or tissue function'>
<'antibiotic', 'diagnoses', 'cell or molecular dysfunction'>
<'mental or behavioral dysfunction', 'process of', 'invertebrate'>
<'pathologic function', 'complicates', 'experimental model of disease'>
<'antibiotic', 'prevents', 'cell or molecular dysfunction'>
<'tissue', 'part of', 'body part organ or organ component'>
<'cell function', 'occurs in', 'temporal concept'>
<'laboratory procedure', 'analyzes', 'neuroreactive substance or biogenic amine'>
<'cell or molecular dysfunction', 'result of', 'phenomenon or process'>
<'steroid', 'affects', 'disease or syndrome'>
<'gene or genome', 'part of', 'cell component'>
<'individual behavior', 'associated with', 'acquired abnormality'>
<'cell or molecular dysfunction', 'result of', 'therapeutic or preventive procedure'>
<'immunologic factor', 'disrupts', 'body part organ or organ component'>
<'laboratory procedure', 'isa', 'activity'>
<'molecular biology research technique', 'measures', 'organ or tissue function'>
<'biologically active substance', 'affects', 'mental process'>
<'mental or behavioral dysfunction', 'co-occurs with', 'neoplastic process'>
<'acquired abnormality', 'part of', 'bacterium'>
<'receptor', 'complicates', 'cell or molecular dysfunction'>
<'mental or behavioral dysfunction', 'process of', 'amphibian'>
<'immunologic factor', 'affects', 'cell function'>
<'mental or behavioral dysfunction', 'affects', 'behavior'>
<'element ion or isotope', 'interacts with', 'enzyme'>
<'family group', 'produces', 'clinical drug'>
<'cell function', 'result of', 'experimental model of disease'>
<'organism function', 'result of', 'physiologic function'>
<'acquired abnormality', 'affects', 'physiologic function'>
<'cell or molecular dysfunction', 'issue in', 'biomedical occupation or discipline'>
<'experimental model of disease', 'result of', 'individual behavior'>
<'organism function', 'affects', 'clinical attribute'>
<'genetic function', 'precedes', 'organism function'>
<'diagnostic procedure', 'analyzes', 'nucleic acid nucleoside or nucleotide'>
<'organ or tissue function', 'affects', 'pathologic function'>
<'gene or genome', 'produces', 'immunologic factor'>
<'phenomenon or process', 'result of', 'human caused phenomenon or process'>
<'embryonic structure', 'location of', 'disease or syndrome'>
<'research activity', 'measures', 'experimental model of disease'>
<'pathologic function', 'manifestation of', 'cell function'>
<'disease or syndrome', 'result of', 'cell or molecular dysfunction'>
<'clinical attribute', 'property of', 'human'>
<'health care related organization', 'location of', 'educational activity'>
<'mental or behavioral dysfunction', 'manifestation of', 'pathologic function'>
<'diagnostic procedure', 'affects', 'cell function'>
<'genetic function', 'affects', 'invertebrate'>
<'cell or molecular dysfunction', 'affects', 'archaeon'>
<'tissue', 'location of', 'biologic function'>
<'experimental model of disease', 'affects', 'rickettsia or chlamydia'>
<'fully formed anatomical structure', 'part of', 'organism'>
<'carbohydrate', 'isa', 'substance'>
<'biologically active substance', 'interacts with', 'vitamin'>
<'molecular biology research technique', 'measures', 'chemical'>
<'organophosphorus compound', 'interacts with', 'carbohydrate'>
<'biologically active substance', 'issue in', 'biomedical occupation or discipline'>
<'organic chemical', 'causes', 'mental or behavioral dysfunction'>
<'organism attribute', 'isa', 'entity'>
<'molecular biology research technique', 'measures', 'clinical attribute'>
<'therapeutic or preventive procedure', 'uses', 'drug delivery device'>
<'laboratory procedure', 'assesses effect of', 'cell or molecular dysfunction'>
<'acquired abnormality', 'part of', 'alga'>
<'physiologic function', 'result of', 'genetic function'>
<'cell or molecular dysfunction', 'occurs in', 'group'>
<'genetic function', 'affects', 'amphibian'>
<'receptor', 'disrupts', 'organism function'>
<'body substance', 'causes', 'mental or behavioral dysfunction'>
<'acquired abnormality', 'manifestation of', 'organism function'>
<'bird', 'interacts with', 'mammal'>
<'vitamin', 'complicates', 'congenital abnormality'>
<'anatomical abnormality', 'location of', 'experimental model of disease'>
<'research device', 'causes', 'experimental model of disease'>
<'alga', 'interacts with', 'invertebrate'>
<'behavior', 'associated with', 'occupation or discipline'>
<'pharmacologic substance', 'affects', 'cell function'>
<'neoplastic process', 'manifestation of', 'mental or behavioral dysfunction'>
<'disease or syndrome', 'process of', 'biologic function'>
<'biologically active substance', 'causes', 'pathologic function'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'immunologic factor'>
<'self help or relief organization', 'isa', 'organization'>
<'therapeutic or preventive procedure', 'isa', 'event'>
<'injury or poisoning', 'complicates', 'congenital abnormality'>
<'cell', 'location of', 'cell function'>
<'molecular function', 'affects', 'plant'>
<'clinical attribute', 'result of', 'environmental effect of humans'>
<'amino acid peptide or protein', 'affects', 'mental or behavioral dysfunction'>
<'family group', 'performs', 'governmental or regulatory activity'>
<'anatomical abnormality', 'manifestation of', 'cell function'>
<'body part organ or organ component', 'connected to', 'body substance'>
<'biologically active substance', 'complicates', 'organism function'>
<'congenital abnormality', 'result of', 'neoplastic process'>
<'gene or genome', 'location of', 'mental or behavioral dysfunction'>
<'organic chemical', 'affects', 'experimental model of disease'>
<'disease or syndrome', 'affects', 'animal'>
<'chemical viewed structurally', 'interacts with', 'chemical'>
<'molecular function', 'co-occurs with', 'genetic function'>
<'cell or molecular dysfunction', 'process of', 'rickettsia or chlamydia'>
<'individual behavior', 'associated with', 'occupation or discipline'>
<'research activity', 'issue in', 'biomedical occupation or discipline'>
<'disease or syndrome', 'produces', 'vitamin'>
<'individual behavior', 'isa', 'behavior'>
<'cell component', 'location of', 'virus'>
<'professional or occupational group', 'exhibits', 'social behavior'>
<'organism function', 'process of', 'vertebrate'>
<'laboratory procedure', 'associated with', 'neoplastic process'>
<'pharmacologic substance', 'complicates', 'congenital abnormality'>
<'body part organ or organ component', 'part of', 'virus'>
<'laboratory or test result', 'manifestation of', 'injury or poisoning'>
<'age group', 'produces', 'research device'>
<'experimental model of disease', 'result of', 'environmental effect of humans'>
<'element ion or isotope', 'isa', 'physical object'>
<'biologically active substance', 'affects', 'disease or syndrome'>
<'vertebrate', 'interacts with', 'human'>
<'acquired abnormality', 'location of', 'experimental model of disease'>
<'molecular function', 'process of', 'human'>
<'professional or occupational group', 'exhibits', 'behavior'>
<'therapeutic or preventive procedure', 'treats', 'experimental model of disease'>
<'population group', 'produces', 'intellectual product'>
<'pharmacologic substance', 'treats', 'sign or symptom'>
<'mental or behavioral dysfunction', 'complicates', 'cell or molecular dysfunction'>
<'experimental model of disease', 'result of', 'biologic function'>
<'food', 'affects', 'cell function'>
<'vitamin', 'affects', 'disease or syndrome'>
<'mental or behavioral dysfunction', 'produces', 'enzyme'>
<'patient or disabled group', 'performs', 'educational activity'>
<'vitamin', 'causes', 'injury or poisoning'>
<'self help or relief organization', 'produces', 'classification'>
<'chemical viewed functionally', 'interacts with', 'enzyme'>
<'amino acid peptide or protein', 'causes', 'neoplastic process'>
<'diagnostic procedure', 'assesses effect of', 'biologically active substance'>
<'body part organ or organ component', 'produces', 'vitamin'>
<'pathologic function', 'result of', 'therapeutic or preventive procedure'>
<'self help or relief organization', 'manages', 'patient or disabled group'>
<'substance', 'isa', 'physical object'>
<'neoplastic process', 'produces', 'biologically active substance'>
<'manufactured object', 'causes', 'disease or syndrome'>
<'body space or junction', 'location of', 'organ or tissue function'>
<'congenital abnormality', 'isa', 'anatomical structure'>
<'molecular biology research technique', 'measures', 'biologic function'>
<'acquired abnormality', 'part of', 'human'>
<'mental or behavioral dysfunction', 'isa', 'event'>
<'family group', 'performs', 'therapeutic or preventive procedure'>
<'group', 'produces', 'regulation or law'>
<'disease or syndrome', 'affects', 'mammal'>
<'eicosanoid', 'interacts with', 'inorganic chemical'>
<'immunologic factor', 'indicates', 'rickettsia or chlamydia'>
<'laboratory or test result', 'measurement of', 'neuroreactive substance or biogenic amine'>
<'organophosphorus compound', 'affects', 'organism function'>
<'fully formed anatomical structure', 'location of', 'physiologic function'>
<'cell', 'produces', 'enzyme'>
<'professional or occupational group', 'produces', 'research device'>
<'pharmacologic substance', 'causes', 'injury or poisoning'>
<'injury or poisoning', 'disrupts', 'embryonic structure'>
<'diagnostic procedure', 'measures', 'neuroreactive substance or biogenic amine'>
<'rickettsia or chlamydia', 'isa', 'physical object'>
<'genetic function', 'issue in', 'occupation or discipline'>
<'anatomical abnormality', 'result of', 'pathologic function'>
<'tissue', 'isa', 'fully formed anatomical structure'>
<'age group', 'produces', 'classification'>
<'nucleic acid nucleoside or nucleotide', 'affects', 'physiologic function'>
<'anatomical abnormality', 'part of', 'bacterium'>
<'laboratory procedure', 'assesses effect of', 'nucleic acid nucleoside or nucleotide'>
<'organization', 'issue in', 'occupation or discipline'>
<'mental process', 'result of', 'acquired abnormality'>
<'hazardous or poisonous substance', 'causes', 'disease or syndrome'>
<'natural phenomenon or process', 'affects', 'cell or molecular dysfunction'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'hazardous or poisonous substance'>
<'cell component', 'produces', 'enzyme'>
<'anatomical abnormality', 'affects', 'physiologic function'>
<'embryonic structure', 'location of', 'rickettsia or chlamydia'>
<'pathologic function', 'occurs in', 'group'>
<'molecular function', 'affects', 'organism attribute'>
<'rickettsia or chlamydia', 'causes', 'neoplastic process'>
<'chemical viewed structurally', 'causes', 'pathologic function'>
<'congenital abnormality', 'result of', 'mental process'>
<'mental or behavioral dysfunction', 'affects', 'bacterium'>
<'organism function', 'precedes', 'cell function'>
<'educational activity', 'issue in', 'occupation or discipline'>
<'immunologic factor', 'isa', 'chemical'>
<'experimental model of disease', 'affects', 'bird'>
<'anatomical abnormality', 'result of', 'therapeutic or preventive procedure'>
<'mental or behavioral dysfunction', 'process of', 'fish'>
<'vitamin', 'disrupts', 'fully formed anatomical structure'>
<'acquired abnormality', 'result of', 'genetic function'>
<'embryonic structure', 'part of', 'reptile'>
<'biologically active substance', 'disrupts', 'body part organ or organ component'>
<'cell function', 'precedes', 'organism function'>
<'diagnostic procedure', 'assesses effect of', 'hormone'>
<'language', 'issue in', 'biomedical occupation or discipline'>
<'professional or occupational group', 'performs', 'research activity'>
<'chemical viewed functionally', 'interacts with', 'receptor'>
<'natural phenomenon or process', 'result of', 'cell function'>
<'mental or behavioral dysfunction', 'process of', 'organ or tissue function'>
<'chemical', 'causes', 'experimental model of disease'>
<'neoplastic process', 'produces', 'hormone'>
<'environmental effect of humans', 'result of', 'molecular function'>
<'social behavior', 'result of', 'mental process'>
<'organization', 'location of', 'occupational activity'>
<'anatomical abnormality', 'part of', 'alga'>
<'neoplastic process', 'affects', 'disease or syndrome'>
<'rickettsia or chlamydia', 'location of', 'vitamin'>
<'hormone', 'interacts with', 'hazardous or poisonous substance'>
<'experimental model of disease', 'affects', 'molecular function'>
<'carbohydrate', 'interacts with', 'indicator reagent or diagnostic aid'>
<'cell function', 'affects', 'archaeon'>
<'body space or junction', 'part of', 'body part organ or organ component'>
<'laboratory procedure', 'affects', 'cell or molecular dysfunction'>
<'chemical', 'isa', 'substance'>
<'hazardous or poisonous substance', 'complicates', 'acquired abnormality'>
<'mental or behavioral dysfunction', 'affects', 'alga'>
<'cell or molecular dysfunction', 'occurs in', 'patient or disabled group'>
<'professional or occupational group', 'uses', 'research device'>
<'neoplastic process', 'process of', 'mental or behavioral dysfunction'>
<'invertebrate', 'issue in', 'occupation or discipline'>
<'clinical drug', 'causes', 'acquired abnormality'>
<'alga', 'isa', 'physical object'>
<'governmental or regulatory activity', 'isa', 'activity'>
<'genetic function', 'affects', 'fish'>
<'geographic area', 'associated with', 'congenital abnormality'>
<'organophosphorus compound', 'interacts with', 'receptor'>
<'biologic function', 'process of', 'vertebrate'>
<'organism function', 'process of', 'natural phenomenon or process'>
<'cell or molecular dysfunction', 'process of', 'bird'>
<'inorganic chemical', 'interacts with', 'biomedical or dental material'>
<'genetic function', 'affects', 'organ or tissue function'>
<'injury or poisoning', 'result of', 'congenital abnormality'>
<'acquired abnormality', 'part of', 'organism'>
<'nucleotide sequence', 'isa', 'entity'>
<'plant', 'interacts with', 'invertebrate'>
<'immunologic factor', 'causes', 'anatomical abnormality'>
<'laboratory procedure', 'analyzes', 'amino acid peptide or protein'>
<'molecular sequence', 'result of', 'mental process'>
<'cell or molecular dysfunction', 'co-occurs with', 'pathologic function'>
<'congenital abnormality', 'affects', 'virus'>
<'diagnostic procedure', 'assesses effect of', 'steroid'>
<'finding', 'associated with', 'acquired abnormality'>
<'pathologic function', 'affects', 'organism function'>
<'drug delivery device', 'causes', 'experimental model of disease'>
<'clinical attribute', 'measurement of', 'physiologic function'>
<'acquired abnormality', 'part of', 'fungus'>
<'genetic function', 'precedes', 'cell function'>
<'body space or junction', 'location of', 'biologic function'>
<'educational activity', 'isa', 'activity'>
<'cell or molecular dysfunction', 'process of', 'molecular function'>
<'biologically active substance', 'isa', 'physical object'>
<'cell function', 'result of', 'physiologic function'>
<'physiologic function', 'result of', 'injury or poisoning'>
<'regulation or law', 'affects', 'organization'>
<'research activity', 'measures', 'physiologic function'>
<'cell function', 'produces', 'receptor'>
<'social behavior', 'associated with', 'clinical attribute'>
<'congenital abnormality', 'result of', 'disease or syndrome'>
<'element ion or isotope', 'affects', 'mental or behavioral dysfunction'>
<'organic chemical', 'interacts with', 'element ion or isotope'>
<'vitamin', 'causes', 'anatomical abnormality'>
<'patient or disabled group', 'isa', 'entity'>
<'pathologic function', 'isa', 'natural phenomenon or process'>
<'intellectual product', 'issue in', 'occupation or discipline'>
<'molecular function', 'isa', 'biologic function'>
<'mental or behavioral dysfunction', 'result of', 'cell or molecular dysfunction'>
<'bird', 'isa', 'organism'>
<'laboratory procedure', 'associated with', 'disease or syndrome'>
<'laboratory procedure', 'analyzes', 'organic chemical'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'antibiotic'>
<'chemical viewed structurally', 'issue in', 'occupation or discipline'>
<'genetic function', 'affects', 'clinical attribute'>
<'professional or occupational group', 'uses', 'classification'>
<'mental or behavioral dysfunction', 'result of', 'natural phenomenon or process'>
<'biologic function', 'affects', 'mental or behavioral dysfunction'>
<'phenomenon or process', 'result of', 'cell or molecular dysfunction'>
<'organism attribute', 'issue in', 'biomedical occupation or discipline'>
<'experimental model of disease', 'process of', 'animal'>
<'sign or symptom', 'evaluation of', 'organ or tissue function'>
<'mental process', 'affects', 'animal'>
<'medical device', 'causes', 'experimental model of disease'>
<'sign or symptom', 'diagnoses', 'acquired abnormality'>
<'cell', 'location of', 'rickettsia or chlamydia'>
<'mental process', 'produces', 'vitamin'>
<'tissue', 'produces', 'eicosanoid'>
<'eicosanoid', 'affects', 'organism function'>
<'immunologic factor', 'disrupts', 'embryonic structure'>
<'pharmacologic substance', 'causes', 'anatomical abnormality'>
<'neoplastic process', 'result of', 'organ or tissue function'>
<'disease or syndrome', 'co-occurs with', 'cell or molecular dysfunction'>
<'diagnostic procedure', 'analyzes', 'lipid'>
<'disease or syndrome', 'associated with', 'pathologic function'>
<'mental or behavioral dysfunction', 'affects', 'human'>
<'cell component', 'location of', 'acquired abnormality'>
<'chemical viewed structurally', 'affects', 'biologic function'>
<'amino acid peptide or protein', 'causes', 'disease or syndrome'>
<'gene or genome', 'part of', 'virus'>
<'congenital abnormality', 'location of', 'cell or molecular dysfunction'>
<'laboratory or test result', 'evaluation of', 'organ or tissue function'>
<'research activity', 'measures', 'immunologic factor'>
<'pharmacologic substance', 'disrupts', 'tissue'>
<'element ion or isotope', 'causes', 'neoplastic process'>
<'biologically active substance', 'complicates', 'cell function'>
<'eicosanoid', 'interacts with', 'enzyme'>
<'receptor', 'isa', 'entity'>
<'health care activity', 'associated with', 'pathologic function'>
<'congenital abnormality', 'affects', 'plant'>
<'mental or behavioral dysfunction', 'process of', 'biologic function'>
<'vitamin', 'disrupts', 'embryonic structure'>
<'cell function', 'isa', 'natural phenomenon or process'>
<'cell or molecular dysfunction', 'process of', 'bacterium'>
<'steroid', 'affects', 'mental or behavioral dysfunction'>
<'organic chemical', 'affects', 'physiologic function'>
<'indicator reagent or diagnostic aid', 'affects', 'neoplastic process'>
<'pathologic function', 'issue in', 'biomedical occupation or discipline'>
<'inorganic chemical', 'affects', 'pathologic function'>
<'cell or molecular dysfunction', 'degree of', 'pathologic function'>
<'organism function', 'affects', 'mental or behavioral dysfunction'>
<'injury or poisoning', 'disrupts', 'mental process'>
<'neoplastic process', 'result of', 'individual behavior'>
<'injury or poisoning', 'result of', 'human caused phenomenon or process'>
<'antibiotic', 'treats', 'neoplastic process'>
<'embryonic structure', 'location of', 'molecular function'>
<'educational activity', 'associated with', 'neoplastic process'>
<'pathologic function', 'occurs in', 'patient or disabled group'>
<'carbohydrate', 'affects', 'cell or molecular dysfunction'>
<'diagnostic procedure', 'uses', 'research device'>
<'laboratory or test result', 'evaluation of', 'clinical attribute'>
<'quantitative concept', 'measurement of', 'molecular sequence'>
<'behavior', 'associated with', 'professional or occupational group'>
<'organ or tissue function', 'process of', 'reptile'>
<'neoplastic process', 'affects', 'rickettsia or chlamydia'>
<'professional society', 'location of', 'governmental or regulatory activity'>
<'genetic function', 'process of', 'vertebrate'>
<'disease or syndrome', 'affects', 'physiologic function'>
<'disease or syndrome', 'issue in', 'occupation or discipline'>
<'natural phenomenon or process', 'process of', 'genetic function'>
<'bird', 'interacts with', 'fish'>
<'neoplastic process', 'occurs in', 'family group'>
<'biomedical or dental material', 'causes', 'injury or poisoning'>
<'rickettsia or chlamydia', 'causes', 'disease or syndrome'>
<'chemical viewed structurally', 'isa', 'physical object'>
<'cell or molecular dysfunction', 'affects', 'cell function'>
<'cell or molecular dysfunction', 'process of', 'alga'>
<'genetic function', 'affects', 'biologic function'>
<'physiologic function', 'process of', 'plant'>
<'mental process', 'result of', 'genetic function'>
<'steroid', 'causes', 'neoplastic process'>
<'individual behavior', 'associated with', 'professional or occupational group'>
<'professional society', 'carries out', 'diagnostic procedure'>
<'organophosphorus compound', 'affects', 'cell function'>
<'amphibian', 'isa', 'animal'>
<'physiologic function', 'precedes', 'molecular function'>
<'fungus', 'interacts with', 'human'>
<'organism attribute', 'manifestation of', 'molecular function'>
<'human caused phenomenon or process', 'result of', 'experimental model of disease'>
<'biologic function', 'process of', 'natural phenomenon or process'>
<'receptor', 'isa', 'chemical viewed functionally'>
<'lipid', 'isa', 'entity'>
<'laboratory procedure', 'diagnoses', 'cell or molecular dysfunction'>
<'disease or syndrome', 'process of', 'reptile'>
<'antibiotic', 'causes', 'cell or molecular dysfunction'>
<'body space or junction', 'result of', 'mental process'>
<'laboratory procedure', 'analyzes', 'chemical'>
<'disease or syndrome', 'degree of', 'cell or molecular dysfunction'>
<'cell or molecular dysfunction', 'complicates', 'congenital abnormality'>
<'fungus', 'causes', 'cell or molecular dysfunction'>
<'experimental model of disease', 'associated with', 'organism attribute'>
<'laboratory or test result', 'measurement of', 'amino acid peptide or protein'>
<'eicosanoid', 'interacts with', 'receptor'>
<'research device', 'isa', 'manufactured object'>
<'anatomical abnormality', 'part of', 'organism'>
<'receptor', 'affects', 'pathologic function'>
<'acquired abnormality', 'result of', 'injury or poisoning'>
<'enzyme', 'affects', 'cell function'>
<'research activity', 'associated with', 'congenital abnormality'>
<'pathologic function', 'process of', 'rickettsia or chlamydia'>
