mental or behavioral dysfunction, result of, health care activity
vitamin, disrupts, molecular function
social behavior, isa, event
biomedical or dental material, affects, organism function
therapeutic or preventive procedure, affects, patient or disabled group
cell function, isa, phenomenon or process
hazardous or poisonous substance, affects, disease or syndrome
mental process, precedes, genetic function
anatomical abnormality, result of, acquired abnormality
acquired abnormality, result of, mental process
enzyme, affects, cell function
organ or tissue function, affects, invertebrate
cell or molecular dysfunction, result of, disease or syndrome
reptile, isa, vertebrate
organism function, affects, reptile
physiologic function, affects, organism attribute
anatomical structure, part of, animal
fully formed anatomical structure, location of, anatomical abnormality
steroid, affects, pathologic function
molecular sequence, isa, conceptual entity
hazardous or poisonous substance, affects, neoplastic process
antibiotic, affects, molecular function
carbohydrate, isa, chemical viewed structurally
enzyme, disrupts, body part organ or organ component
inorganic chemical, affects, experimental model of disease
molecular function, affects, organism
fully formed anatomical structure, isa, anatomical structure
hazardous or poisonous substance, affects, mental process
anatomical structure, part of, organism
cell or molecular dysfunction, affects, bacterium
acquired abnormality, part of, plant
laboratory procedure, affects, experimental model of disease
biomedical or dental material, isa, entity
disease or syndrome, affects, experimental model of disease
human, isa, entity
laboratory or test result, isa, conceptual entity
pathologic function, affects, natural phenomenon or process
genetic function, result of, anatomical abnormality
biologic function, affects, neoplastic process
cell or molecular dysfunction, result of, mental process
organophosphorus compound, affects, pathologic function
hazardous or poisonous substance, affects, mental or behavioral dysfunction
fully formed anatomical structure, location of, neoplastic process
anatomical abnormality, result of, health care activity
phenomenon or process, result of, anatomical abnormality
disease or syndrome, affects, amphibian
gene or genome, location of, molecular function
neoplastic process, affects, physiologic function
mammal, isa, animal
embryonic structure, location of, rickettsia or chlamydia
biologic function, affects, mental or behavioral dysfunction
injury or poisoning, disrupts, body part organ or organ component
body space or junction, location of, cell function
body part organ or organ component, part of, alga
molecular function, result of, organ or tissue function
mental or behavioral dysfunction, affects, reptile
hormone, disrupts, cell
human caused phenomenon or process, result of, pathologic function
acquired abnormality, part of, organism
molecular function, affects, clinical attribute
experimental model of disease, affects, fish
amino acid peptide or protein, affects, natural phenomenon or process
disease or syndrome, precedes, pathologic function
phenomenon or process, result of, neoplastic process
organism function, result of, molecular function
biologic function, result of, molecular function
population group, isa, conceptual entity
mental process, isa, organism function
steroid, isa, chemical viewed structurally
cell function, result of, physiologic function
biologic function, affects, genetic function
enzyme, isa, chemical
fully formed anatomical structure, location of, genetic function
pathologic function, affects, plant
body location or region, isa, conceptual entity
fully formed anatomical structure, part of, archaeon
organization, location of, occupational activity
eicosanoid, affects, natural phenomenon or process
injury or poisoning, result of, acquired abnormality
phenomenon or process, result of, mental or behavioral dysfunction
neoplastic process, result of, individual behavior
experimental model of disease, precedes, cell or molecular dysfunction
embryonic structure, part of, amphibian
alga, isa, plant
cell, part of, animal
biologic function, affects, alga
hormone, isa, entity
biologically active substance, isa, substance
neoplastic process, result of, pathologic function
organism function, result of, environmental effect of humans
therapeutic or preventive procedure, affects, organism function
cell, part of, organism
anatomical abnormality, result of, organism function
antibiotic, disrupts, tissue
vertebrate, isa, animal
experimental model of disease, precedes, disease or syndrome
phenomenon or process, result of, genetic function
lipid, affects, cell or molecular dysfunction
immunologic factor, disrupts, organ or tissue function
organism function, isa, event
biologically active substance, disrupts, organ or tissue function
carbohydrate sequence, isa, conceptual entity
organism function, affects, animal
mental or behavioral dysfunction, result of, molecular function
congenital abnormality, affects, vertebrate
organism function, result of, injury or poisoning
inorganic chemical, affects, biologic function
food, affects, organ or tissue function
organ or tissue function, affects, bacterium
pathologic function, precedes, experimental model of disease
lipid, affects, disease or syndrome
laboratory procedure, affects, biologic function
experimental model of disease, isa, event
injury or poisoning, result of, health care activity
cell component, part of, plant
alga, isa, organism
organism function, affects, organism
antibiotic, disrupts, genetic function
pharmacologic substance, affects, experimental model of disease
vitamin, disrupts, gene or genome
biomedical or dental material, isa, physical object
genetic function, precedes, organ or tissue function
organ or tissue function, isa, phenomenon or process
organ or tissue function, precedes, physiologic function
nucleic acid nucleoside or nucleotide, affects, pathologic function
food, isa, entity
disease or syndrome, isa, event
molecular function, isa, biologic function
cell component, location of, biologic function
steroid, affects, cell function
vitamin, affects, organ or tissue function
mental or behavioral dysfunction, result of, environmental effect of humans
neoplastic process, result of, human caused phenomenon or process
pathologic function, result of, organ or tissue function
organ or tissue function, result of, experimental model of disease
lipid, affects, mental process
genetic function, affects, organism attribute
experimental model of disease, affects, rickettsia or chlamydia
hormone, disrupts, cell function
mental or behavioral dysfunction, isa, event
indicator reagent or diagnostic aid, affects, organ or tissue function
body space or junction, location of, congenital abnormality
acquired abnormality, affects, cell function
pathologic function, affects, molecular function
cell component, part of, organism
social behavior, affects, behavior
mental or behavioral dysfunction, affects, animal
lipid, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, result of, injury or poisoning
mental process, affects, social behavior
organophosphorus compound, affects, cell function
clinical attribute, result of, organism function
disease or syndrome, affects, rickettsia or chlamydia
anatomical abnormality, affects, invertebrate
cell function, affects, archaeon
experimental model of disease, result of, organ or tissue function
molecular sequence, isa, spatial concept
mental or behavioral dysfunction, affects, organism
laboratory or test result, result of, laboratory procedure
congenital abnormality, affects, cell function
natural phenomenon or process, affects, organ or tissue function
eicosanoid, isa, physical object
receptor, disrupts, cell
biologic function, affects, natural phenomenon or process
neuroreactive substance or biogenic amine, disrupts, cell component
embryonic structure, location of, virus
molecular function, result of, cell or molecular dysfunction
body location or region, location of, organism function
body part organ or organ component, location of, organism function
congenital abnormality, part of, alga
cell function, affects, organism function
acquired abnormality, isa, anatomical abnormality
hormone, affects, physiologic function
self help or relief organization, location of, laboratory procedure
human caused phenomenon or process, result of, cell function
injury or poisoning, result of, organism function
nucleic acid nucleoside or nucleotide, isa, chemical viewed structurally
pathologic function, affects, invertebrate
gene or genome, location of, bacterium
tissue, part of, archaeon
physiologic function, precedes, genetic function
amino acid peptide or protein, affects, molecular function
hormone, isa, physical object
molecular function, result of, disease or syndrome
embryonic structure, location of, fungus
genetic function, result of, natural phenomenon or process
rickettsia or chlamydia, isa, organism
bacterium, isa, organism
body space or junction, location of, acquired abnormality
natural phenomenon or process, result of, anatomical abnormality
physiologic function, affects, mammal
chemical viewed structurally, affects, experimental model of disease
phenomenon or process, result of, natural phenomenon or process
acquired abnormality, affects, reptile
eicosanoid, affects, molecular function
molecular function, affects, bacterium
anatomical abnormality, result of, phenomenon or process
environmental effect of humans, isa, phenomenon or process
experimental model of disease, affects, human
inorganic chemical, affects, physiologic function
experimental model of disease, result of, therapeutic or preventive procedure
biomedical occupation or discipline, isa, occupation or discipline
molecular function, result of, mental process
behavior, isa, activity
disease or syndrome, affects, physiologic function
pharmacologic substance, affects, biologic function
neoplastic process, result of, cell function
laboratory procedure, affects, physiologic function
reptile, isa, animal
molecular function, precedes, physiologic function
organic chemical, isa, chemical viewed structurally
therapeutic or preventive procedure, isa, activity
congenital abnormality, affects, reptile
pathologic function, isa, biologic function
cell function, result of, anatomical abnormality
natural phenomenon or process, result of, neoplastic process
immunologic factor, affects, organism function
molecular function, result of, mental or behavioral dysfunction
genetic function, affects, fish
mental or behavioral dysfunction, result of, diagnostic procedure
occupational activity, isa, event
disease or syndrome, result of, therapeutic or preventive procedure
fully formed anatomical structure, location of, congenital abnormality
body location or region, isa, spatial concept
congenital abnormality, location of, experimental model of disease
chemical, isa, physical object
molecular function, isa, physiologic function
cell component, location of, physiologic function
physiologic function, affects, bird
organism attribute, result of, organ or tissue function
tissue, location of, virus
food, affects, cell or molecular dysfunction
organ or tissue function, affects, experimental model of disease
cell or molecular dysfunction, affects, biologic function
mental or behavioral dysfunction, affects, organism function
genetic function, result of, congenital abnormality
gene or genome, affects, cell function
acquired abnormality, part of, bacterium
natural phenomenon or process, result of, mental or behavioral dysfunction
fully formed anatomical structure, isa, physical object
steroid, isa, substance
enzyme, disrupts, cell
injury or poisoning, result of, behavior
congenital abnormality, result of, cell or molecular dysfunction
experimental model of disease, isa, biologic function
enzyme, affects, organism function
individual behavior, affects, behavior
virus, isa, organism
food, affects, disease or syndrome
nucleic acid nucleoside or nucleotide, affects, cell function
hormone, disrupts, cell component
phenomenon or process, result of, congenital abnormality
tissue, location of, fungus
embryonic structure, location of, pathologic function
organ or tissue function, affects, amphibian
manufactured object, isa, entity
mental process, affects, neoplastic process
vitamin, affects, cell or molecular dysfunction
neoplastic process, affects, genetic function
carbohydrate, affects, experimental model of disease
pathologic function, result of, cell or molecular dysfunction
mental process, isa, event
element ion or isotope, affects, organ or tissue function
natural phenomenon or process, result of, genetic function
receptor, disrupts, cell function
amino acid peptide or protein, isa, organic chemical
clinical attribute, result of, phenomenon or process
disease or syndrome, result of, pathologic function
immunologic factor, disrupts, mental process
professional society, location of, research activity
biologically active substance, disrupts, mental process
food, affects, neoplastic process
chemical viewed structurally, isa, substance
experimental model of disease, affects, virus
indicator reagent or diagnostic aid, affects, cell or molecular dysfunction
fully formed anatomical structure, location of, acquired abnormality
vitamin, affects, disease or syndrome
injury or poisoning, disrupts, cell
food, affects, mental process
element ion or isotope, isa, chemical
age group, isa, conceptual entity
congenital abnormality, result of, neoplastic process
tissue, location of, therapeutic or preventive procedure
rickettsia or chlamydia, location of, biologically active substance
pathologic function, result of, disease or syndrome
chemical, affects, organ or tissue function
neoplastic process, affects, alga
hazardous or poisonous substance, affects, molecular function
mental process, affects, mental or behavioral dysfunction
invertebrate, isa, animal
indicator reagent or diagnostic aid, affects, disease or syndrome
amino acid peptide or protein, isa, chemical
cell function, result of, genetic function
food, affects, mental or behavioral dysfunction
experimental model of disease, result of, cell or molecular dysfunction
injury or poisoning, result of, phenomenon or process
experimental model of disease, affects, fungus
environmental effect of humans, result of, organism function
genetic function, precedes, mental process
body part organ or organ component, part of, invertebrate
acquired abnormality, result of, environmental effect of humans
genetic function, result of, acquired abnormality
organization, location of, research activity
natural phenomenon or process, affects, cell or molecular dysfunction
vitamin, affects, neoplastic process
physiologic function, affects, organ or tissue function
pathologic function, result of, neoplastic process
pathologic function, affects, bacterium
anatomical abnormality, part of, mammal
congenital abnormality, result of, mental or behavioral dysfunction
neuroreactive substance or biogenic amine, disrupts, fully formed anatomical structure
lipid, isa, substance
mental process, affects, genetic function
disease or syndrome, affects, fungus
vitamin, affects, mental process
environmental effect of humans, result of, injury or poisoning
experimental model of disease, result of, disease or syndrome
pathologic function, result of, mental process
acquired abnormality, affects, animal
health care activity, affects, experimental model of disease
natural phenomenon or process, affects, disease or syndrome
gene or genome, location of, experimental model of disease
acquired abnormality, result of, injury or poisoning
mental or behavioral dysfunction, affects, behavior
neuroreactive substance or biogenic amine, disrupts, organism function
individual behavior, isa, activity
self help or relief organization, location of, therapeutic or preventive procedure
disease or syndrome, result of, human caused phenomenon or process
indicator reagent or diagnostic aid, affects, mental process
body part organ or organ component, part of, archaeon
vitamin, affects, mental or behavioral dysfunction
pathologic function, result of, mental or behavioral dysfunction
clinical drug, isa, entity
pharmacologic substance, affects, physiologic function
congenital abnormality, result of, genetic function
acquired abnormality, location of, neoplastic process
mental process, affects, alga
cell or molecular dysfunction, result of, environmental effect of humans
congenital abnormality, affects, animal
cell function, precedes, organ or tissue function
natural phenomenon or process, affects, neoplastic process
hormone, isa, chemical viewed functionally
human caused phenomenon or process, result of, acquired abnormality
hormone, affects, pathologic function
physiologic function, result of, anatomical abnormality
biologic function, affects, invertebrate
experimental model of disease, result of, mental process
anatomical abnormality, part of, bird
molecular function, affects, experimental model of disease
diagnostic procedure, affects, cell or molecular dysfunction
natural phenomenon or process, affects, mental process
biologic function, result of, experimental model of disease
vitamin, affects, genetic function
organ or tissue function, affects, biologic function
pathologic function, result of, genetic function
cell, location of, anatomical abnormality
cell or molecular dysfunction, result of, injury or poisoning
enzyme, disrupts, cell function
cell component, part of, bacterium
cell function, affects, organism attribute
fully formed anatomical structure, part of, fish
natural phenomenon or process, affects, mental or behavioral dysfunction
molecular function, affects, amphibian
neoplastic process, isa, disease or syndrome
antibiotic, disrupts, molecular function
physiologic function, result of, neoplastic process
inorganic chemical, isa, substance
experimental model of disease, affects, pathologic function
health care related organization, isa, entity
cell, location of, neoplastic process
organism attribute, result of, cell or molecular dysfunction
inorganic chemical, affects, pathologic function
diagnostic procedure, affects, neoplastic process
acquired abnormality, result of, behavior
neoplastic process, result of, acquired abnormality
neoplastic process, affects, natural phenomenon or process
congenital abnormality, location of, rickettsia or chlamydia
hazardous or poisonous substance, disrupts, tissue
disease or syndrome, affects, pathologic function
tissue, location of, disease or syndrome
injury or poisoning, disrupts, cell function
receptor, disrupts, cell component
physiologic function, result of, mental or behavioral dysfunction
cell or molecular dysfunction, isa, natural phenomenon or process
genetic function, affects, human
chemical viewed functionally, isa, chemical
organ or tissue function, affects, rickettsia or chlamydia
organism attribute, result of, disease or syndrome
antibiotic, affects, biologic function
body system, isa, conceptual entity
acquired abnormality, affects, archaeon
embryonic structure, location of, cell function
cell, location of, mental or behavioral dysfunction
hormone, disrupts, fully formed anatomical structure
steroid, affects, organism function
diagnostic procedure, affects, mental or behavioral dysfunction
clinical attribute, isa, conceptual entity
gene or genome, part of, plant
element ion or isotope, affects, cell or molecular dysfunction
anatomical abnormality, location of, neoplastic process
group, isa, conceptual entity
animal, isa, organism
hazardous or poisonous substance, disrupts, genetic function
disease or syndrome, result of, cell function
cell component, location of, anatomical abnormality
physiologic function, result of, genetic function
cell function, result of, natural phenomenon or process
hormone, disrupts, organism function
organism attribute, result of, neoplastic process
cell or molecular dysfunction, result of, behavior
anatomical structure, isa, entity
diagnostic procedure, isa, activity
acquired abnormality, affects, organism function
chemical viewed structurally, affects, physiologic function
cell, location of, genetic function
mental process, result of, pathologic function
neoplastic process, result of, health care activity
geographic area, isa, entity
organism attribute, result of, mental process
gene or genome, location of, biologic function
element ion or isotope, affects, disease or syndrome
organ or tissue function, precedes, cell function
organophosphorus compound, affects, organism function
diagnostic procedure, affects, genetic function
lipid, affects, molecular function
mental process, affects, natural phenomenon or process
anatomical abnormality, location of, mental or behavioral dysfunction
organism attribute, result of, mental or behavioral dysfunction
congenital abnormality, affects, organism function
physiologic function, precedes, molecular function
natural phenomenon or process, result of, congenital abnormality
clinical drug, isa, physical object
congenital abnormality, part of, invertebrate
fungus, location of, neuroreactive substance or biogenic amine
physiologic function, affects, cell or molecular dysfunction
chemical, affects, disease or syndrome
pathologic function, affects, experimental model of disease
congenital abnormality, result of, natural phenomenon or process
experimental model of disease, affects, vertebrate
regulation or law, affects, family group
drug delivery device, isa, medical device
cell function, affects, fish
neuroreactive substance or biogenic amine, affects, organ or tissue function
human caused phenomenon or process, result of, organism function
molecular function, affects, biologic function
organism function, result of, biologic function
element ion or isotope, affects, mental process
organ or tissue function, affects, physiologic function
physiologic function, affects, disease or syndrome
receptor, isa, substance
vitamin, affects, natural phenomenon or process
genetic function, affects, virus
pathologic function, affects, amphibian
laboratory procedure, affects, genetic function
cell function, result of, congenital abnormality
organic chemical, affects, neoplastic process
biomedical or dental material, affects, organ or tissue function
amphibian, isa, physical object
gene or genome, location of, rickettsia or chlamydia
chemical, affects, mental process
mental process, result of, human caused phenomenon or process
anatomical abnormality, affects, fish
enzyme, disrupts, cell component
tissue, part of, fish
hormone, affects, cell function
physiologic function, affects, vertebrate
biologic function, isa, phenomenon or process
cell component, location of, genetic function
amino acid peptide or protein, affects, experimental model of disease
genetic function, affects, fungus
carbohydrate, affects, physiologic function
pharmacologic substance, isa, physical object
physiologic function, affects, mental process
anatomical structure, part of, mammal
organic chemical, affects, mental or behavioral dysfunction
temporal concept, isa, idea or concept
neoplastic process, result of, organism function
alga, location of, immunologic factor
qualitative concept, result of, mental process
carbohydrate, isa, physical object
pharmacologic substance, affects, pathologic function
physiologic function, affects, mental or behavioral dysfunction
mental or behavioral dysfunction, result of, biologic function
eicosanoid, affects, experimental model of disease
antibiotic, affects, physiologic function
experimental model of disease, affects, cell function
injury or poisoning, disrupts, cell component
governmental or regulatory activity, isa, event
organic chemical, affects, genetic function
quantitative concept, result of, mental process
lipid, isa, organic chemical
organ or tissue function, result of, pathologic function
inorganic chemical, affects, cell function
antibiotic, disrupts, gene or genome
cell function, precedes, mental process
cell function, result of, acquired abnormality
fully formed anatomical structure, part of, human
disease or syndrome, affects, cell function
gene or genome, affects, organism function
molecular biology research technique, isa, event
congenital abnormality, location of, virus
natural phenomenon or process, result of, molecular function
physiologic function, result of, natural phenomenon or process
molecular function, precedes, cell function
gene or genome, part of, invertebrate
anatomical structure, isa, physical object
spatial concept, isa, conceptual entity
receptor, disrupts, fully formed anatomical structure
nucleic acid nucleoside or nucleotide, affects, organism function
embryonic structure, part of, alga
gene or genome, location of, physiologic function
lipid, isa, chemical
molecular function, result of, environmental effect of humans
receptor, disrupts, organism function
congenital abnormality, location of, fungus
vertebrate, isa, entity
pathologic function, affects, biologic function
alga, location of, receptor
genetic function, affects, pathologic function
organ or tissue function, affects, fungus
professional society, location of, educational activity
professional society, isa, entity
cell or molecular dysfunction, affects, neoplastic process
molecular function, result of, injury or poisoning
human, isa, animal
mental process, result of, cell function
molecular function, affects, physiologic function
biologic function, result of, physiologic function
immunologic factor, disrupts, molecular function
biologically active substance, disrupts, molecular function
organ or tissue function, result of, human caused phenomenon or process
anatomical abnormality, affects, rickettsia or chlamydia
neoplastic process, result of, behavior
hormone, disrupts, embryonic structure
experimental model of disease, affects, reptile
tissue, part of, rickettsia or chlamydia
human caused phenomenon or process, result of, phenomenon or process
cell, part of, mammal
food, affects, molecular function
governmental or regulatory activity, isa, occupational activity
professional society, location of, molecular biology research technique
cell or molecular dysfunction, affects, mental or behavioral dysfunction
bacterium, location of, immunologic factor
mental or behavioral dysfunction, isa, disease or syndrome
organism function, precedes, genetic function
tissue, part of, body part organ or organ component
anatomical abnormality, part of, vertebrate
therapeutic or preventive procedure, affects, organ or tissue function
neoplastic process, affects, archaeon
chemical viewed structurally, affects, pathologic function
plant, location of, hormone
mental or behavioral dysfunction, precedes, neoplastic process
functional concept, isa, idea or concept
congenital abnormality, result of, molecular function
molecular biology research technique, isa, occupational activity
amino acid peptide or protein, affects, biologic function
neuroreactive substance or biogenic amine, affects, cell or molecular dysfunction
hazardous or poisonous substance, affects, experimental model of disease
genetic function, precedes, molecular function
anatomical abnormality, result of, organ or tissue function
fully formed anatomical structure, part of, virus
inorganic chemical, isa, chemical
pathologic function, affects, rickettsia or chlamydia
molecular function, isa, natural phenomenon or process
organism function, affects, mammal
rickettsia or chlamydia, location of, hormone
tissue, isa, fully formed anatomical structure
cell or molecular dysfunction, affects, genetic function
professional society, isa, organization
vitamin, affects, molecular function
patient or disabled group, isa, conceptual entity
mammal, isa, physical object
mental process, affects, invertebrate
pathologic function, result of, molecular function
biologic function, affects, experimental model of disease
neuroreactive substance or biogenic amine, affects, disease or syndrome
language, isa, entity
biomedical or dental material, affects, cell or molecular dysfunction
cell, part of, bird
eicosanoid, affects, biologic function
fully formed anatomical structure, location of, experimental model of disease
cell function, affects, human
neoplastic process, result of, phenomenon or process
fully formed anatomical structure, part of, fungus
congenital abnormality, location of, pathologic function
disease or syndrome, result of, health care activity
enzyme, disrupts, fully formed anatomical structure
body part organ or organ component, part of, fish
cell or molecular dysfunction, affects, alga
biologic function, affects, amphibian
biomedical or dental material, affects, disease or syndrome
organ or tissue function, affects, pathologic function
organic chemical, affects, natural phenomenon or process
enzyme, disrupts, organism function
genetic function, affects, vertebrate
genetic function, result of, experimental model of disease
experimental model of disease, result of, molecular function
pharmacologic substance, affects, cell function
neuroreactive substance or biogenic amine, affects, mental process
organism function, affects, bird
bacterium, location of, receptor
natural phenomenon or process, affects, molecular function
anatomical abnormality, affects, human
tissue, part of, human
phenomenon or process, result of, experimental model of disease
anatomical abnormality, result of, therapeutic or preventive procedure
mental or behavioral dysfunction, affects, mammal
behavior, result of, mental process
injury or poisoning, disrupts, fully formed anatomical structure
carbohydrate, affects, pathologic function
pharmacologic substance, disrupts, body part organ or organ component
cell component, location of, congenital abnormality
organ or tissue function, result of, cell function
biomedical or dental material, affects, mental process
gene or genome, part of, bacterium
clinical attribute, result of, organ or tissue function
fungus, location of, biologically active substance
vertebrate, isa, physical object
pathologic function, affects, physiologic function
chemical viewed functionally, affects, cell or molecular dysfunction
injury or poisoning, disrupts, organism function
biologic function, affects, fish
virus, location of, hormone
antibiotic, isa, physical object
experimental model of disease, result of, environmental effect of humans
physiologic function, result of, molecular function
embryonic structure, location of, organism function
body part organ or organ component, location of, organ or tissue function
body location or region, location of, organ or tissue function
cell component, affects, genetic function
cell function, affects, organ or tissue function
cell, location of, molecular function
injury or poisoning, result of, organ or tissue function
diagnostic procedure, affects, molecular function
nucleic acid nucleoside or nucleotide, isa, physical object
experimental model of disease, affects, animal
cell function, affects, virus
nucleotide sequence, isa, spatial concept
mental or behavioral dysfunction, affects, bird
disease or syndrome, result of, organism function
experimental model of disease, result of, injury or poisoning
receptor, isa, chemical
physiologic function, affects, plant
genetic function, affects, cell function
hazardous or poisonous substance, affects, biologic function
mental or behavioral dysfunction, result of, social behavior
disease or syndrome, affects, animal
vitamin, disrupts, tissue
body system, isa, functional concept
chemical viewed functionally, affects, neoplastic process
amino acid peptide or protein, affects, physiologic function
health care related organization, location of, therapeutic or preventive procedure
health care activity, affects, pathologic function
receptor, disrupts, embryonic structure
disease or syndrome, result of, injury or poisoning
organ or tissue function, precedes, organism function
organism function, affects, organ or tissue function
gene or genome, location of, pathologic function
hazardous or poisonous substance, isa, entity
pharmacologic substance, disrupts, physiologic function
cell function, affects, fungus
cell component, location of, acquired abnormality
anatomical abnormality, affects, virus
antibiotic, affects, neoplastic process
gene or genome, location of, anatomical abnormality
physiologic function, isa, event
self help or relief organization, location of, health care activity
research activity, affects, mental process
tissue, part of, virus
organism attribute, result of, molecular function
body part organ or organ component, location of, body space or junction
biologically active substance, disrupts, gene or genome
body part organ or organ component, part of, rickettsia or chlamydia
family group, isa, group
cell or molecular dysfunction, affects, natural phenomenon or process
vitamin, isa, chemical
congenital abnormality, result of, diagnostic procedure
chemical viewed functionally, affects, mental or behavioral dysfunction
eicosanoid, affects, physiologic function
therapeutic or preventive procedure, affects, cell or molecular dysfunction
chemical viewed structurally, affects, cell function
experimental model of disease, isa, natural phenomenon or process
organ or tissue function, affects, alga
organic chemical, isa, physical object
vitamin, disrupts, genetic function
congenital abnormality, part of, amphibian
conceptual entity, isa, entity
anatomical abnormality, result of, cell or molecular dysfunction
anatomical abnormality, affects, fungus
physiologic function, affects, organism
immunologic factor, affects, organ or tissue function
biologic function, result of, pathologic function
tissue, part of, fungus
pathologic function, result of, diagnostic procedure
research device, isa, physical object
organism function, result of, anatomical abnormality
biologic function, result of, anatomical abnormality
disease or syndrome, isa, natural phenomenon or process
therapeutic or preventive procedure, affects, disease or syndrome
regulation or law, affects, professional society
chemical viewed functionally, affects, genetic function
alga, location of, enzyme
anatomical abnormality, result of, disease or syndrome
tissue, location of, organism function
organism attribute, result of, environmental effect of humans
immunologic factor, isa, entity
mental or behavioral dysfunction, affects, organ or tissue function
nucleotide sequence, isa, molecular sequence
antibiotic, affects, genetic function
cell function, result of, phenomenon or process
hormone, affects, organism function
genetic function, affects, reptile
biologic function, affects, rickettsia or chlamydia
enzyme, affects, organ or tissue function
pathologic function, affects, fungus
tissue, location of, injury or poisoning
fully formed anatomical structure, part of, vertebrate
disease or syndrome, result of, behavior
organism function, result of, neoplastic process
organ or tissue function, affects, cell function
experimental model of disease, result of, diagnostic procedure
embryonic structure, isa, anatomical structure
fully formed anatomical structure, location of, rickettsia or chlamydia
mental or behavioral dysfunction, result of, individual behavior
organic chemical, affects, molecular function
neuroreactive substance or biogenic amine, isa, entity
therapeutic or preventive procedure, affects, mental process
anatomical abnormality, result of, mental process
physiologic function, affects, clinical attribute
physiologic function, affects, molecular function
disease or syndrome, affects, archaeon
experimental model of disease, affects, organism function
social behavior, isa, activity
body part organ or organ component, part of, human
organism function, result of, mental or behavioral dysfunction
mental or behavioral dysfunction, result of, anatomical abnormality
carbohydrate, affects, cell function
inorganic chemical, affects, organism function
reptile, isa, physical object
disease or syndrome, affects, organism function
anatomical abnormality, part of, plant
professional society, location of, governmental or regulatory activity
molecular function, precedes, organism function
environmental effect of humans, result of, organ or tissue function
hazardous or poisonous substance, affects, physiologic function
clinical attribute, result of, human caused phenomenon or process
molecular function, affects, genetic function
mammal, isa, vertebrate
cell, location of, diagnostic procedure
organism function, result of, genetic function
clinical attribute, result of, disease or syndrome
cell function, precedes, molecular function
gene or genome, part of, amphibian
body part organ or organ component, location of, cell or molecular dysfunction
body location or region, location of, cell or molecular dysfunction
mental or behavioral dysfunction, result of, neoplastic process
hazardous or poisonous substance, disrupts, gene or genome
acquired abnormality, affects, mammal
injury or poisoning, disrupts, embryonic structure
injury or poisoning, result of, cell or molecular dysfunction
biologic function, affects, physiologic function
natural phenomenon or process, result of, experimental model of disease
organization, location of, governmental or regulatory activity
neuroreactive substance or biogenic amine, disrupts, organ or tissue function
biologic function, affects, human
molecular function, affects, alga
bacterium, location of, enzyme
lipid, affects, biologic function
biomedical or dental material, isa, substance
antibiotic, disrupts, body part organ or organ component
body part organ or organ component, location of, disease or syndrome
fully formed anatomical structure, location of, physiologic function
embryonic structure, part of, archaeon
body location or region, location of, disease or syndrome
regulation or law, affects, age group
anatomical structure, part of, alga
cell function, affects, disease or syndrome
anatomical abnormality, part of, organism
injury or poisoning, result of, disease or syndrome
mental process, result of, organism function
hormone, isa, biologically active substance
cell, location of, bacterium
congenital abnormality, affects, mammal
health care activity, affects, cell function
clinical attribute, result of, mental process
organism function, affects, cell or molecular dysfunction
gene or genome, location of, cell function
body location or region, location of, neoplastic process
cell function, affects, vertebrate
nucleotide sequence, isa, entity
acquired abnormality, affects, bird
organism, isa, entity
body part organ or organ component, part of, virus
cell or molecular dysfunction, affects, molecular function
chemical viewed functionally, affects, natural phenomenon or process
physiologic function, isa, biologic function
mental or behavioral dysfunction, result of, genetic function
body part organ or organ component, location of, mental process
body location or region, location of, mental process
organism function, affects, disease or syndrome
congenital abnormality, part of, rickettsia or chlamydia
phenomenon or process, result of, physiologic function
genetic function, isa, event
body space or junction, location of, therapeutic or preventive procedure
injury or poisoning, result of, mental process
acquired abnormality, result of, social behavior
amino acid peptide or protein, affects, pathologic function
genetic function, affects, animal
antibiotic, affects, natural phenomenon or process
mental process, affects, experimental model of disease
individual behavior, affects, mental process
acquired abnormality, part of, alga
immunologic factor, affects, cell or molecular dysfunction
invertebrate, isa, physical object
biologically active substance, affects, cell or molecular dysfunction
body part organ or organ component, location of, mental or behavioral dysfunction
body location or region, location of, mental or behavioral dysfunction
biologic function, result of, cell function
food, affects, experimental model of disease
congenital abnormality, affects, bird
substance, isa, entity
organism function, affects, neoplastic process
injury or poisoning, result of, mental or behavioral dysfunction
body part organ or organ component, part of, fungus
eicosanoid, isa, substance
tissue, part of, vertebrate
neoplastic process, affects, fish
genetic function, affects, organism
antibiotic, disrupts, physiologic function
congenital abnormality, result of, experimental model of disease
fully formed anatomical structure, part of, reptile
organism function, affects, mental process
mental process, affects, amphibian
immunologic factor, affects, disease or syndrome
eicosanoid, affects, pathologic function
mental or behavioral dysfunction, affects, cell or molecular dysfunction
qualitative concept, isa, idea or concept
organization, location of, diagnostic procedure
cell or molecular dysfunction, affects, invertebrate
fungus, isa, physical object
enzyme, affects, cell or molecular dysfunction
biologic function, affects, virus
organism function, affects, mental or behavioral dysfunction
cell or molecular dysfunction, result of, social behavior
human caused phenomenon or process, isa, event
hormone, isa, substance
vitamin, affects, experimental model of disease
pathologic function, result of, experimental model of disease
immunologic factor, affects, neoplastic process
fully formed anatomical structure, location of, virus
biologically active substance, affects, neoplastic process
mental or behavioral dysfunction, affects, disease or syndrome
steroid, affects, organ or tissue function
pharmacologic substance, disrupts, cell
