pharmacologic substance, complicates, anatomical abnormality
biologic function, affects, reptile
chemical viewed structurally, interacts with, vitamin
neoplastic process, process of, cell or molecular dysfunction
research activity, measures, nucleic acid nucleoside or nucleotide
biologic function, result of, organ or tissue function
biomedical or dental material, causes, neoplastic process
pathologic function, produces, body substance
tissue, location of, neoplastic process
fully formed anatomical structure, location of, neoplastic process
professional society, carries out, research activity
pharmacologic substance, interacts with, immunologic factor
inorganic chemical, affects, cell or molecular dysfunction
disease or syndrome, precedes, neoplastic process
individual behavior, associated with, neoplastic process
sign or symptom, associated with, neoplastic process
organ or tissue function, process of, biologic function
biologically active substance, disrupts, tissue
hazardous or poisonous substance, isa, physical object
chemical viewed structurally, affects, pathologic function
pharmacologic substance, affects, cell or molecular dysfunction
injury or poisoning, disrupts, embryonic structure
mental or behavioral dysfunction, result of, neoplastic process
mental or behavioral dysfunction, affects, molecular function
neuroreactive substance or biogenic amine, complicates, experimental model of disease
research activity, associated with, cell or molecular dysfunction
finding, associated with, experimental model of disease
mental or behavioral dysfunction, affects, biologic function
lipid, isa, chemical
cell, location of, experimental model of disease
acquired abnormality, location of, pathologic function
embryonic structure, isa, physical object
congenital abnormality, affects, organism
drug delivery device, prevents, neoplastic process
research activity, measures, biomedical or dental material
age group, produces, manufactured object
therapeutic or preventive procedure, uses, food
carbohydrate, interacts with, steroid
daily or recreational activity, associated with, experimental model of disease
chemical, affects, pathologic function
neoplastic process, result of, environmental effect of humans
laboratory procedure, associated with, experimental model of disease
experimental model of disease, produces, body substance
mental or behavioral dysfunction, complicates, injury or poisoning
biologic function, affects, experimental model of disease
embryonic structure, location of, physiologic function
experimental model of disease, affects, molecular function
carbohydrate, interacts with, immunologic factor
anatomical abnormality, result of, pathologic function
laboratory or test result, measurement of, inorganic chemical
experimental model of disease, affects, biologic function
anatomical structure, part of, rickettsia or chlamydia
physiologic function, affects, mental or behavioral dysfunction
organism function, produces, biologically active substance
pathologic function, process of, plant
regulation or law, affects, self help or relief organization
tissue, conceptual part of, body system
pharmacologic substance, disrupts, body part organ or organ component
inorganic chemical, affects, organism function
immunologic factor, disrupts, fully formed anatomical structure
mental or behavioral dysfunction, process of, organism
biologic function, affects, mental process
antibiotic, treats, pathologic function
physiologic function, produces, biologically active substance
pharmacologic substance, affects, organism function
neoplastic process, affects, natural phenomenon or process
mental or behavioral dysfunction, occurs in, disease or syndrome
chemical viewed structurally, affects, genetic function
research activity, measures, mental or behavioral dysfunction
acquired abnormality, affects, organism
pathologic function, manifestation of, organism function
experimental model of disease, process of, organism
amphibian, interacts with, organism
tissue, part of, fish
physiologic function, result of, experimental model of disease
cell component, produces, carbohydrate
organic chemical, causes, experimental model of disease
biologically active substance, complicates, pathologic function
physiologic function, affects, fish
mental or behavioral dysfunction, manifestation of, organism function
food, causes, congenital abnormality
pathologic function, affects, organ or tissue function
neoplastic process, occurs in, group
laboratory or test result, manifestation of, biologic function
neoplastic process, degree of, pathologic function
diagnostic procedure, measures, pharmacologic substance
mental process, process of, experimental model of disease
carbohydrate, affects, mental or behavioral dysfunction
environmental effect of humans, result of, biologic function
fish, exhibits, behavior
organism function, affects, biologic function
mental or behavioral dysfunction, affects, organ or tissue function
diagnostic procedure, diagnoses, pathologic function
neoplastic process, complicates, congenital abnormality
food, ingredient of, clinical drug
fully formed anatomical structure, part of, mammal
anatomical structure, location of, fungus
fully formed anatomical structure, isa, anatomical structure
fish, interacts with, organism
element ion or isotope, causes, mental or behavioral dysfunction
pharmacologic substance, disrupts, gene or genome
human, isa, physical object
invertebrate, isa, physical object
amphibian, isa, organism
pharmacologic substance, complicates, cell or molecular dysfunction
pharmacologic substance, affects, physiologic function
fully formed anatomical structure, issue in, occupation or discipline
steroid, interacts with, chemical viewed functionally
disease or syndrome, degree of, neoplastic process
experimental model of disease, affects, organ or tissue function
clinical drug, causes, experimental model of disease
pharmacologic substance, disrupts, embryonic structure
mental or behavioral dysfunction, precedes, pathologic function
research activity, measures, chemical
amino acid peptide or protein, affects, mental or behavioral dysfunction
laboratory procedure, assesses effect of, biologic function
pharmacologic substance, disrupts, organism function
carbohydrate, interacts with, pharmacologic substance
cell component, location of, experimental model of disease
pathologic function, manifestation of, physiologic function
chemical viewed functionally, interacts with, chemical
animal, interacts with, organism
organism function, process of, organism
mental or behavioral dysfunction, co-occurs with, injury or poisoning
biologically active substance, issue in, occupation or discipline
mental process, result of, pathologic function
professional or occupational group, diagnoses, neoplastic process
food, causes, acquired abnormality
mental or behavioral dysfunction, occurs in, age group
lipid, affects, pathologic function
mental or behavioral dysfunction, manifestation of, physiologic function
body space or junction, location of, biologic function
neoplastic process, affects, plant
physiologic function, process of, biologic function
organophosphorus compound, affects, neoplastic process
molecular biology research technique, associated with, experimental model of disease
mental or behavioral dysfunction, process of, cell or molecular dysfunction
neoplastic process, result of, molecular function
chemical viewed functionally, causes, mental or behavioral dysfunction
experimental model of disease, precedes, pathologic function
inorganic chemical, causes, experimental model of disease
neoplastic process, complicates, acquired abnormality
enzyme, complicates, pathologic function
neoplastic process, result of, therapeutic or preventive procedure
mental or behavioral dysfunction, occurs in, neoplastic process
family group, uses, manufactured object
experimental model of disease, manifestation of, mental process
inorganic chemical, causes, anatomical abnormality
experimental model of disease, co-occurs with, injury or poisoning
organophosphorus compound, interacts with, inorganic chemical
mental or behavioral dysfunction, affects, bacterium
body substance, consists of, steroid
anatomical abnormality, manifestation of, pathologic function
neoplastic process, affects, human
organ or tissue function, affects, pathologic function
mental process, affects, mental or behavioral dysfunction
vitamin, affects, biologic function
enzyme, causes, pathologic function
group, uses, manufactured object
experimental model of disease, manifestation of, physiologic function
reptile, isa, physical object
medical device, treats, experimental model of disease
chemical viewed functionally, isa, chemical
experimental model of disease, process of, cell or molecular dysfunction
therapeutic or preventive procedure, uses, manufactured object
research activity, measures, disease or syndrome
disease or syndrome, result of, mental or behavioral dysfunction
self help or relief organization, carries out, research activity
laboratory procedure, affects, mental or behavioral dysfunction
diagnostic procedure, associated with, mental or behavioral dysfunction
element ion or isotope, isa, chemical viewed structurally
experimental model of disease, affects, bacterium
pharmacologic substance, disrupts, physiologic function
neoplastic process, manifestation of, genetic function
antibiotic, affects, pathologic function
pathologic function, affects, virus
tissue, produces, neuroreactive substance or biogenic amine
element ion or isotope, issue in, biomedical occupation or discipline
anatomical structure, part of, animal
steroid, isa, lipid
organ or tissue function, process of, pathologic function
mental or behavioral dysfunction, affects, virus
body part organ or organ component, location of, biologic function
carbohydrate, affects, disease or syndrome
biologically active substance, disrupts, body part organ or organ component
tissue, surrounds, cell component
health care activity, affects, pathologic function
laboratory or test result, indicates, experimental model of disease
mental process, affects, fish
cell or molecular dysfunction, result of, biologic function
biologic function, issue in, occupation or discipline
neoplastic process, manifestation of, mental or behavioral dysfunction
biologic function, process of, vertebrate
cell or molecular dysfunction, associated with, pathologic function
element ion or isotope, causes, disease or syndrome
disease or syndrome, manifestation of, pathologic function
experimental model of disease, affects, virus
cell or molecular dysfunction, isa, biologic function
body substance, causes, pathologic function
neoplastic process, affects, reptile
chemical viewed structurally, interacts with, chemical viewed functionally
neoplastic process, result of, organ or tissue function
amino acid peptide or protein, isa, physical object
population group, associated with, experimental model of disease
inorganic chemical, interacts with, chemical
fully formed anatomical structure, produces, enzyme
steroid, affects, natural phenomenon or process
physiologic function, affects, neoplastic process
mental or behavioral dysfunction, occurs in, group
diagnostic procedure, analyzes, carbohydrate
mental or behavioral dysfunction, degree of, pathologic function
tissue, surrounds, cell
substance, causes, experimental model of disease
tissue, produces, body substance
fully formed anatomical structure, part of, bacterium
immunologic factor, causes, experimental model of disease
cell component, isa, anatomical structure
biologically active substance, disrupts, gene or genome
research activity, measures, neoplastic process
hormone, interacts with, chemical
diagnostic procedure, measures, inorganic chemical
food, affects, pathologic function
bacterium, isa, physical object
experimental model of disease, degree of, pathologic function
neoplastic process, affects, experimental model of disease
acquired abnormality, result of, pathologic function
pathologic function, result of, genetic function
biologically active substance, disrupts, embryonic structure
biomedical or dental material, causes, experimental model of disease
biologically active substance, affects, molecular function
finding, evaluation of, neoplastic process
tissue, location of, experimental model of disease
fully formed anatomical structure, location of, experimental model of disease
disease or syndrome, precedes, experimental model of disease
finding, manifestation of, neoplastic process
biologically active substance, affects, biologic function
individual behavior, associated with, experimental model of disease
pathologic function, affects, fish
sign or symptom, associated with, experimental model of disease
tissue, location of, anatomical abnormality
environmental effect of humans, result of, pathologic function
fully formed anatomical structure, location of, anatomical abnormality
neoplastic process, co-occurs with, experimental model of disease
fully formed anatomical structure, part of, virus
mental or behavioral dysfunction, result of, experimental model of disease
carbohydrate, affects, neoplastic process
steroid, affects, cell function
body part organ or organ component, part of, organism
tissue, produces, amino acid peptide or protein
neoplastic process, affects, mental process
carbohydrate, issue in, biomedical occupation or discipline
mental or behavioral dysfunction, affects, fish
chemical, causes, disease or syndrome
neoplastic process, co-occurs with, anatomical abnormality
mental or behavioral dysfunction, result of, anatomical abnormality
element ion or isotope, interacts with, neuroreactive substance or biogenic amine
fully formed anatomical structure, produces, eicosanoid
natural phenomenon or process, affects, pathologic function
mental or behavioral dysfunction, result of, behavior
cell function, affects, biologic function
research activity, measures, enzyme
mental or behavioral dysfunction, complicates, cell or molecular dysfunction
element ion or isotope, causes, neoplastic process
carbohydrate, interacts with, inorganic chemical
drug delivery device, prevents, experimental model of disease
experimental model of disease, result of, genetic function
mental or behavioral dysfunction, process of, bird
laboratory procedure, analyzes, chemical viewed structurally
biologic function, process of, rickettsia or chlamydia
diagnostic procedure, affects, mental or behavioral dysfunction
organic chemical, interacts with, biologically active substance
antibiotic, prevents, mental or behavioral dysfunction
biologically active substance, causes, injury or poisoning
experimental model of disease, affects, invertebrate
antibiotic, disrupts, fully formed anatomical structure
molecular biology research technique, measures, mental or behavioral dysfunction
experimental model of disease, affects, fish
mental or behavioral dysfunction, associated with, neoplastic process
biologic function, result of, injury or poisoning
laboratory procedure, assesses effect of, pathologic function
human caused phenomenon or process, result of, mental or behavioral dysfunction
food, affects, genetic function
experimental model of disease, process of, bird
experimental model of disease, result of, mental or behavioral dysfunction
natural phenomenon or process, process of, pathologic function
acquired abnormality, manifestation of, neoplastic process
research activity, measures, natural phenomenon or process
neuroreactive substance or biogenic amine, complicates, biologic function
injury or poisoning, disrupts, fully formed anatomical structure
chemical viewed structurally, causes, injury or poisoning
anatomical structure, part of, fungus
cell, location of, biologic function
cell function, process of, organism
geographic area, associated with, pathologic function
biologic function, process of, alga
invertebrate, causes, pathologic function
steroid, isa, chemical
physical object, issue in, occupation or discipline
embryonic structure, contains, body substance
chemical viewed functionally, causes, neoplastic process
pathologic function, complicates, mental or behavioral dysfunction
cell or molecular dysfunction, precedes, mental or behavioral dysfunction
pathologic function, affects, disease or syndrome
biologic function, affects, molecular function
fish, isa, physical object
chemical viewed structurally, affects, natural phenomenon or process
vitamin, affects, pathologic function
laboratory or test result, associated with, mental or behavioral dysfunction
chemical, causes, injury or poisoning
mental process, affects, neoplastic process
biologic function, process of, genetic function
biologically active substance, affects, organ or tissue function
biomedical or dental material, interacts with, chemical
antibiotic, isa, chemical
self help or relief organization, produces, regulation or law
pharmacologic substance, interacts with, neuroreactive substance or biogenic amine
carbohydrate, isa, entity
inorganic chemical, causes, congenital abnormality
eicosanoid, interacts with, biologically active substance
inorganic chemical, interacts with, biologically active substance
experimental model of disease, complicates, mental or behavioral dysfunction
fully formed anatomical structure, part of, invertebrate
inorganic chemical, ingredient of, clinical drug
food, causes, pathologic function
diagnostic procedure, analyzes, chemical
chemical, causes, neoplastic process
tissue, part of, plant
organism function, result of, mental or behavioral dysfunction
body part organ or organ component, isa, physical object
vertebrate, isa, organism
self help or relief organization, produces, classification
body part organ or organ component, location of, pathologic function
neoplastic process, complicates, pathologic function
pharmacologic substance, prevents, cell or molecular dysfunction
research activity, issue in, biomedical occupation or discipline
fully formed anatomical structure, produces, steroid
disease or syndrome, degree of, experimental model of disease
carbohydrate, interacts with, neuroreactive substance or biogenic amine
genetic function, affects, mental or behavioral dysfunction
physiologic function, result of, biologic function
fully formed anatomical structure, produces, immunologic factor
tissue, part of, human
inorganic chemical, interacts with, enzyme
chemical viewed structurally, affects, cell function
manufactured object, causes, disease or syndrome
disease or syndrome, isa, biologic function
laboratory procedure, analyzes, element ion or isotope
mental process, process of, biologic function
pharmacologic substance, complicates, acquired abnormality
genetic function, produces, biologically active substance
research device, causes, mental or behavioral dysfunction
professional or occupational group, diagnoses, experimental model of disease
inorganic chemical, causes, acquired abnormality
physiologic function, process of, fish
steroid, affects, organism function
organophosphorus compound, affects, experimental model of disease
pharmacologic substance, causes, acquired abnormality
pathologic function, co-occurs with, injury or poisoning
embryonic structure, part of, human
biologic function, affects, organ or tissue function
pathologic function, affects, neoplastic process
occupational activity, associated with, pathologic function
tissue, surrounds, body substance
pharmacologic substance, interacts with, indicator reagent or diagnostic aid
neoplastic process, issue in, occupation or discipline
cell or molecular dysfunction, complicates, pathologic function
mental or behavioral dysfunction, co-occurs with, anatomical abnormality
neoplastic process, process of, vertebrate
mental or behavioral dysfunction, issue in, biomedical occupation or discipline
pathologic function, complicates, disease or syndrome
cell component, location of, biologic function
research activity, measures, steroid
research activity, measures, immunologic factor
cell or molecular dysfunction, degree of, mental or behavioral dysfunction
biologic function, process of, animal
self help or relief organization, carries out, occupational activity
professional or occupational group, uses, manufactured object
governmental or regulatory activity, associated with, mental or behavioral dysfunction
manufactured object, causes, injury or poisoning
carbohydrate, interacts with, indicator reagent or diagnostic aid
steroid, affects, physiologic function
organic chemical, affects, pathologic function
experimental model of disease, complicates, disease or syndrome
pathologic function, process of, mammal
mental or behavioral dysfunction, result of, environmental effect of humans
phenomenon or process, result of, mental or behavioral dysfunction
cell function, affects, pathologic function
lipid, causes, neoplastic process
bacterium, causes, pathologic function
biologic function, affects, bacterium
tissue, location of, congenital abnormality
fully formed anatomical structure, location of, congenital abnormality
manufactured object, causes, neoplastic process
biomedical or dental material, interacts with, biologically active substance
embryonic structure, part of, reptile
laboratory procedure, measures, mental or behavioral dysfunction
diagnostic procedure, affects, neoplastic process
antibiotic, prevents, neoplastic process
neoplastic process, co-occurs with, congenital abnormality
nucleic acid nucleoside or nucleotide, interacts with, pharmacologic substance
rickettsia or chlamydia, causes, pathologic function
mental or behavioral dysfunction, result of, congenital abnormality
steroid, interacts with, biomedical or dental material
pharmacologic substance, treats, mental or behavioral dysfunction
molecular biology research technique, measures, neoplastic process
chemical, affects, cell or molecular dysfunction
alga, interacts with, fish
physiologic function, affects, experimental model of disease
virus, interacts with, organism
receptor, interacts with, chemical
human caused phenomenon or process, result of, neoplastic process
diagnostic procedure, analyzes, biologically active substance
professional or occupational group, produces, manufactured object
mental or behavioral dysfunction, result of, human caused phenomenon or process
laboratory or test result, indicates, biologic function
chemical viewed functionally, affects, mental or behavioral dysfunction
body location or region, location of, mental or behavioral dysfunction
finding, associated with, pathologic function
neoplastic process, manifestation of, cell function
antibiotic, complicates, neoplastic process
fully formed anatomical structure, produces, organophosphorus compound
biologic function, affects, virus
experimental model of disease, manifestation of, organ or tissue function
hazardous or poisonous substance, interacts with, chemical
sign or symptom, diagnoses, mental or behavioral dysfunction
neoplastic process, process of, pathologic function
daily or recreational activity, associated with, pathologic function
eicosanoid, affects, pathologic function
enzyme, affects, pathologic function
chemical viewed structurally, affects, organism function
antibiotic, causes, neoplastic process
cell or molecular dysfunction, precedes, neoplastic process
anatomical structure, isa, entity
research activity, measures, experimental model of disease
neoplastic process, process of, rickettsia or chlamydia
congenital abnormality, isa, physical object
sign or symptom, evaluation of, neoplastic process
tissue, location of, acquired abnormality
tissue, surrounds, body space or junction
fully formed anatomical structure, location of, acquired abnormality
cell component, produces, steroid
laboratory or test result, associated with, neoplastic process
anatomical structure, part of, reptile
organ or tissue function, affects, organism
neoplastic process, co-occurs with, acquired abnormality
finding, evaluation of, experimental model of disease
embryonic structure, location of, mental or behavioral dysfunction
research activity, measures, pharmacologic substance
mental or behavioral dysfunction, result of, acquired abnormality
neoplastic process, result of, injury or poisoning
finding, manifestation of, experimental model of disease
chemical viewed functionally, interacts with, pharmacologic substance
chemical, affects, organism function
research activity, measures, mental process
biologically active substance, complicates, cell or molecular dysfunction
carbohydrate, affects, experimental model of disease
pathologic function, occurs in, injury or poisoning
experimental model of disease, complicates, neoplastic process
physiologic function, process of, neoplastic process
neoplastic process, degree of, cell or molecular dysfunction
alga, isa, physical object
neoplastic process, process of, alga
biologically active substance, causes, cell or molecular dysfunction
nucleic acid nucleoside or nucleotide, interacts with, element ion or isotope
element ion or isotope, causes, experimental model of disease
patient or disabled group, performs, research activity
biologic function, process of, archaeon
neoplastic process, affects, molecular function
carbohydrate, isa, chemical viewed structurally
cell or molecular dysfunction, occurs in, mental or behavioral dysfunction
chemical viewed structurally, interacts with, carbohydrate
organ or tissue function, process of, organism
pathologic function, affects, plant
cell function, result of, mental or behavioral dysfunction
neoplastic process, affects, biologic function
molecular function, process of, fish
organism attribute, property of, fish
element ion or isotope, causes, anatomical abnormality
carbohydrate, affects, mental process
research activity, measures, organophosphorus compound
cell or molecular dysfunction, produces, biologically active substance
experimental model of disease, result of, natural phenomenon or process
tissue, location of, molecular function
chemical viewed structurally, interacts with, nucleic acid nucleoside or nucleotide
pathologic function, result of, diagnostic procedure
fully formed anatomical structure, location of, molecular function
mental or behavioral dysfunction, associated with, experimental model of disease
chemical viewed structurally, affects, physiologic function
tissue, location of, biologic function
indicator reagent or diagnostic aid, causes, mental or behavioral dysfunction
neoplastic process, process of, genetic function
pathologic function, produces, immunologic factor
mental or behavioral dysfunction, affects, plant
fully formed anatomical structure, location of, biologic function
mental or behavioral dysfunction, process of, vertebrate
disease or syndrome, produces, tissue
pathologic function, precedes, cell or molecular dysfunction
disease or syndrome, isa, pathologic function
laboratory procedure, assesses effect of, biologically active substance
mental or behavioral dysfunction, result of, molecular function
biologic function, process of, fungus
mental process, process of, pathologic function
inorganic chemical, affects, genetic function
chemical viewed structurally, causes, cell or molecular dysfunction
pathologic function, affects, human
mental or behavioral dysfunction, result of, biologic function
steroid, interacts with, chemical
acquired abnormality, manifestation of, experimental model of disease
mental or behavioral dysfunction, precedes, cell or molecular dysfunction
pharmacologic substance, treats, disease or syndrome
pathologic function, result of, cell function
pharmacologic substance, affects, genetic function
indicator reagent or diagnostic aid, isa, chemical
experimental model of disease, affects, organism
eicosanoid, isa, chemical viewed structurally
experimental model of disease, process of, vertebrate
disease or syndrome, occurs in, mental or behavioral dysfunction
chemical viewed functionally, causes, experimental model of disease
biologic function, affects, invertebrate
experimental model of disease, result of, diagnostic procedure
disease or syndrome, produces, biologically active substance
inorganic chemical, affects, mental or behavioral dysfunction
experimental model of disease, precedes, cell or molecular dysfunction
pharmacologic substance, affects, mental or behavioral dysfunction
mental process, affects, experimental model of disease
clinical attribute, property of, fish
research activity, associated with, mental or behavioral dysfunction
experimental model of disease, result of, cell function
patient or disabled group, uses, manufactured object
body substance, surrounds, embryonic structure
biologic function, process of, natural phenomenon or process
gene or genome, produces, carbohydrate
pathologic function, manifestation of, mental or behavioral dysfunction
molecular biology research technique, associated with, pathologic function
molecular function, result of, mental or behavioral dysfunction
mental or behavioral dysfunction, co-occurs with, congenital abnormality
bird, isa, physical object
hormone, affects, mental or behavioral dysfunction
cell or molecular dysfunction, degree of, neoplastic process
pharmacologic substance, complicates, pathologic function
pathologic function, result of, social behavior
inorganic chemical, causes, pathologic function
embryonic structure, location of, disease or syndrome
chemical, causes, experimental model of disease
fungus, causes, neoplastic process
organic chemical, isa, physical object
food, affects, cell function
chemical, causes, anatomical abnormality
plant, isa, organism
pharmacologic substance, causes, pathologic function
neoplastic process, affects, organ or tissue function
hormone, complicates, pathologic function
organism function, affects, organism
phenomenon or process, result of, neoplastic process
pharmacologic substance, disrupts, genetic function
pathologic function, process of, rickettsia or chlamydia
hormone, causes, pathologic function
embryonic structure, part of, cell
fully formed anatomical structure, part of, organism
experimental model of disease, occurs in, professional or occupational group
experimental model of disease, result of, social behavior
laboratory procedure, measures, neoplastic process
neoplastic process, process of, animal
neoplastic process, precedes, pathologic function
molecular biology research technique, measures, steroid
biologic function, process of, cell function
pharmacologic substance, treats, neoplastic process
neoplastic process, manifestation of, mental process
mental or behavioral dysfunction, co-occurs with, acquired abnormality
therapeutic or preventive procedure, associated with, mental or behavioral dysfunction
diagnostic procedure, analyzes, steroid
biologically active substance, issue in, biomedical occupation or discipline
experimental model of disease, affects, cell or molecular dysfunction
neoplastic process, manifestation of, physiologic function
pathologic function, affects, experimental model of disease
laboratory or test result, indicates, pathologic function
pharmacologic substance, complicates, genetic function
pathologic function, degree of, cell or molecular dysfunction
experimental model of disease, process of, rickettsia or chlamydia
receptor, complicates, neoplastic process
pathologic function, process of, alga
chemical viewed functionally, affects, neoplastic process
body location or region, location of, neoplastic process
professional or occupational group, manages, self help or relief organization
neoplastic process, occurs in, patient or disabled group
experimental model of disease, produces, receptor
gene or genome, location of, neoplastic process
chemical viewed structurally, interacts with, chemical
mental or behavioral dysfunction, degree of, cell or molecular dysfunction
steroid, causes, disease or syndrome
research activity, measures, inorganic chemical
experimental model of disease, co-occurs with, acquired abnormality
receptor, causes, neoplastic process
neoplastic process, affects, bacterium
inorganic chemical, isa, physical object
mental or behavioral dysfunction, affects, behavior
genetic function, process of, mental or behavioral dysfunction
pathologic function, process of, genetic function
tissue, location of, bacterium
fully formed anatomical structure, location of, bacterium
indicator reagent or diagnostic aid, affects, pathologic function
organophosphorus compound, affects, biologic function
molecular function, process of, neoplastic process
carbohydrate, issue in, occupation or discipline
pharmacologic substance, affects, disease or syndrome
pathologic function, result of, organism function
biologic function, isa, phenomenon or process
neuroreactive substance or biogenic amine, disrupts, tissue
mental or behavioral dysfunction, process of, genetic function
embryonic structure, location of, neoplastic process
immunologic factor, complicates, pathologic function
biomedical or dental material, affects, mental or behavioral dysfunction
cell or molecular dysfunction, manifestation of, pathologic function
pathologic function, manifestation of, disease or syndrome
immunologic factor, causes, pathologic function
pathologic function, result of, individual behavior
neoplastic process, affects, virus
mental or behavioral dysfunction, manifestation of, disease or syndrome
immunologic factor, indicates, pathologic function
experimental model of disease, process of, genetic function
manufactured object, causes, experimental model of disease
tissue, location of, virus
genetic function, process of, fish
steroid, interacts with, enzyme
cell or molecular dysfunction, occurs in, neoplastic process
diagnostic procedure, affects, experimental model of disease
antibiotic, prevents, experimental model of disease
manufactured object, causes, anatomical abnormality
cell function, result of, neoplastic process
tissue, isa, physical object
vitamin, disrupts, fully formed anatomical structure
biomedical or dental material, causes, pathologic function
molecular biology research technique, measures, experimental model of disease
tissue, location of, pathologic function
pathologic function, occurs in, population group
fully formed anatomical structure, location of, pathologic function
antibiotic, isa, pharmacologic substance
disease or syndrome, precedes, pathologic function
population group, produces, manufactured object
experimental model of disease, manifestation of, disease or syndrome
indicator reagent or diagnostic aid, causes, neoplastic process
individual behavior, associated with, pathologic function
sign or symptom, associated with, pathologic function
steroid, causes, injury or poisoning
biologic function, produces, immunologic factor
neoplastic process, co-occurs with, pathologic function
food, affects, organism function
injury or poisoning, result of, pathologic function
element ion or isotope, causes, congenital abnormality
mental or behavioral dysfunction, result of, pathologic function
human caused phenomenon or process, result of, experimental model of disease
pathologic function, result of, physiologic function
molecular biology research technique, measures, pharmacologic substance
antibiotic, complicates, experimental model of disease
bacterium, interacts with, organism
drug delivery device, prevents, pathologic function
antibiotic, causes, experimental model of disease
steroid, causes, neoplastic process
neoplastic process, process of, archaeon
laboratory procedure, assesses effect of, chemical viewed structurally
rickettsia or chlamydia, interacts with, organism
cell or molecular dysfunction, precedes, experimental model of disease
biologically active substance, interacts with, neuroreactive substance or biogenic amine
biologic function, process of, reptile
disease or syndrome, co-occurs with, neoplastic process
diagnostic procedure, assesses effect of, element ion or isotope
sign or symptom, evaluation of, experimental model of disease
tissue, part of, mammal
experimental model of disease, result of, mental process
research activity, measures, neuroreactive substance or biogenic amine
diagnostic procedure, measures, neoplastic process
antibiotic, diagnoses, mental or behavioral dysfunction
fully formed anatomical structure, produces, body substance
gene or genome, isa, anatomical structure
organism attribute, result of, mental or behavioral dysfunction
substance, isa, physical object
laboratory or test result, associated with, experimental model of disease
experimental model of disease, result of, physiologic function
biologic function, process of, organism function
therapeutic or preventive procedure, prevents, pathologic function
mental or behavioral dysfunction, manifestation of, injury or poisoning
biologically active substance, disrupts, genetic function
physiologic function, affects, biologic function
therapeutic or preventive procedure, affects, mental or behavioral dysfunction
laboratory procedure, analyzes, carbohydrate
organ or tissue function, result of, mental or behavioral dysfunction
fully formed anatomical structure, produces, organic chemical
neoplastic process, process of, fungus
pathologic function, process of, animal
individual behavior, manifestation of, mental or behavioral dysfunction
cell, part of, fish
nucleic acid nucleoside or nucleotide, isa, physical object
medical device, prevents, pathologic function
pathologic function, manifestation of, neoplastic process
experimental model of disease, result of, health care activity
mental or behavioral dysfunction, process of, animal
element ion or isotope, isa, chemical
food, affects, physiologic function
embryonic structure, isa, anatomical structure
tissue, produces, vitamin
organism function, process of, mental or behavioral dysfunction
age group, uses, manufactured object
rickettsia or chlamydia, isa, organism
experimental model of disease, complicates, anatomical abnormality
experimental model of disease, manifestation of, injury or poisoning
biologic function, result of, human caused phenomenon or process
research activity, measures, molecular function
anatomical structure, location of, virus
biomedical or dental material, isa, physical object
neoplastic process, affects, invertebrate
lipid, interacts with, chemical
mental or behavioral dysfunction, manifestation of, neoplastic process
laboratory or test result, measurement of, chemical viewed structurally
neoplastic process, result of, experimental model of disease
research activity, measures, biologic function
food, causes, cell or molecular dysfunction
neoplastic process, affects, fish
congenital abnormality, part of, fish
neoplastic process, result of, anatomical abnormality
fully formed anatomical structure, produces, amino acid peptide or protein
neoplastic process, produces, enzyme
neoplastic process, result of, behavior
experimental model of disease, process of, animal
neoplastic process, complicates, cell or molecular dysfunction
finding, evaluation of, biologic function
manufactured object, issue in, biomedical occupation or discipline
chemical, causes, congenital abnormality
clinical attribute, result of, mental or behavioral dysfunction
finding, manifestation of, biologic function
cell function, affects, organism
experimental model of disease, manifestation of, neoplastic process
drug delivery device, treats, neoplastic process
carbohydrate, affects, molecular function
neoplastic process, process of, natural phenomenon or process
carbohydrate, affects, biologic function
laboratory procedure, measures, steroid
research activity, measures, body substance
biologic function, process of, physiologic function
chemical, ingredient of, clinical drug
biologic function, result of, acquired abnormality
biologically active substance, isa, physical object
inorganic chemical, affects, natural phenomenon or process
chemical viewed structurally, interacts with, enzyme
laboratory or test result, measurement of, food
laboratory or test result, evaluation of, mental or behavioral dysfunction
pharmacologic substance, affects, natural phenomenon or process
research activity, measures, organic chemical
therapeutic or preventive procedure, treats, neoplastic process
research activity, measures, indicator reagent or diagnostic aid
antibiotic, interacts with, chemical
disease or syndrome, degree of, pathologic function
pharmacologic substance, isa, entity
mammal, interacts with, organism
pharmacologic substance, diagnoses, cell or molecular dysfunction
receptor, affects, mental or behavioral dysfunction
acquired abnormality, part of, fish
chemical viewed structurally, isa, physical object
self help or relief organization, location of, diagnostic procedure
biologic function, isa, natural phenomenon or process
invertebrate, interacts with, fish
professional or occupational group, diagnoses, pathologic function
injury or poisoning, complicates, mental or behavioral dysfunction
acquired abnormality, manifestation of, biologic function
chemical, causes, acquired abnormality
genetic function, process of, neoplastic process
research activity, measures, amino acid peptide or protein
hazardous or poisonous substance, affects, mental or behavioral dysfunction
fungus, location of, biologically active substance
biologic function, affects, organism
pharmacologic substance, prevents, pathologic function
cell or molecular dysfunction, degree of, experimental model of disease
self help or relief organization, issue in, biomedical occupation or discipline
neoplastic process, process of, cell function
group, produces, manufactured object
fully formed anatomical structure, part of, bird
therapeutic or preventive procedure, complicates, mental or behavioral dysfunction
steroid, interacts with, immunologic factor
research activity, measures, organ or tissue function
fungus, causes, experimental model of disease
